name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
105.46835112571716,	1.1519686,	0.050003745,	1.8669685999999999,	0.050003745,	0,	
105.96835112571716,	1.1511674,	0.050015192,	1.8661674000000001,	0.050015192,	0,	
106.46835112571716,	1.1513963,	0.050019644,	1.8663963,	0.050019644,	0,	
106.96835112571716,	1.1514536,	0.050013918,	1.8664535999999998,	0.050013918,	0,	
107.46835112571716,	1.1510339,	0.050012648,	1.8660339000000001,	0.050012648,	0,	
107.96835112571716,	1.151072,	0.050018374,	1.866072,	0.050018374,	0,	
108.46835112571716,	1.1505378,	0.050016467,	1.8655377999999998,	0.050016467,	0,	
108.96835112571716,	1.1505188,	0.050016467,	1.8655187999999998,	0.050016467,	0,	
109.46835112571716,	1.1503471,	0.050018374,	1.8653471000000001,	0.050018374,	0,	
109.96835112571716,	1.1508622,	0.050016467,	1.8658622,	0.050016467,	0,	
110.46835112571716,	1.1503853,	0.050012011,	1.8653852999999998,	0.050012011,	0,	
110.96835112571716,	1.1500992,	0.050010741,	1.8650992,	0.050010741,	0,	
111.46835112571716,	1.150328,	0.050014555,	1.8653279999999999,	0.050014555,	0,	
111.96835112571716,	1.1515681,	0.050009467,	1.8665680999999998,	0.050009467,	0,	
112.46835112571716,	1.1514918,	0.050008193,	1.8664918,	0.050008193,	0,	
112.96835112571716,	1.1522548,	0.050005652,	1.8672548,	0.050005652,	0,	
113.46835112571716,	1.1521595,	0.050005652,	1.8671595,	0.050005652,	0,	
113.96835112571716,	1.1522357,	0.050008193,	1.8672357000000002,	0.050008193,	0,	
114.46835112571716,	1.1526172,	0.050007559,	1.8676171999999998,	0.050007559,	0,	
114.96835112571716,	1.1532849,	0.050004374,	1.8682849,	0.050004374,	0,	
115.46835088729858,	1.1533612,	0.050006922,	1.8683611999999998,	0.050006922,	0,	
115.96835088729858,	1.1522739,	0.050011374,	1.8672738999999998,	0.050011374,	0,	
116.46835088729858,	1.1514727,	0.0500101,	1.8664727,	0.0500101,	0,	
116.96835088729858,	1.1516634,	0.050015192,	1.8666633999999998,	0.050015192,	0,	
117.46835088729858,	1.1516443,	0.050014555,	1.8666443,	0.050014555,	0,	
117.96835088729858,	1.1511674,	0.050012011,	1.8661674000000001,	0.050012011,	0,	
118.46835088729858,	1.152064,	0.050015192,	1.867064,	0.050015192,	0,	
118.96835088729858,	1.1516634,	0.050023463,	1.8666633999999998,	0.050023463,	0,	
119.46835088729858,	1.1513772,	0.050020281,	1.8663772,	0.050020281,	0,	
119.96835088729858,	1.1514727,	0.050030462,	1.8664727,	0.050030462,	0,	
120.46835088729858,	1.1517969,	0.050024737,	1.8667968999999998,	0.050024737,	0,	
120.96835088729858,	1.1521404,	0.050022192,	1.8671403999999998,	0.050022192,	0,	
121.46835088729858,	1.1519686,	0.050019644,	1.8669685999999999,	0.050019644,	0,	
121.96835088729858,	1.1510339,	0.0500171,	1.8660339000000001,	0.0500171,	0,	
122.46835088729858,	1.1515108,	0.050024737,	1.8665108,	0.050024737,	0,	
122.96835088729858,	1.1511483,	0.050021552,	1.8661482999999999,	0.050021552,	0,	
123.46835088729858,	1.1511865,	0.050020281,	1.8661865,	0.050020281,	0,	
123.96835088729858,	1.1517969,	0.050012648,	1.8667968999999998,	0.050012648,	0,	
124.46835088729858,	1.1519877,	0.050003745,	1.8669877000000001,	0.050003745,	0,	
124.96835088729858,	1.1524646,	0.050012011,	1.8674646,	0.050012011,	0,	
125.46835088729858,	1.1518923,	0.050005015,	1.8668923,	0.050005015,	0,	
125.96835088729858,	1.1526744,	0.050012011,	1.8676743999999998,	0.050012011,	0,	
126.46835088729858,	1.1526172,	0.050004374,	1.8676171999999998,	0.050004374,	0,	
126.96835088729858,	1.1526172,	0.050012011,	1.8676171999999998,	0.050012011,	0,	
127.46835088729858,	1.1530751,	0.050012011,	1.8680751,	0.050012011,	0,	
127.96835088729858,	1.152083,	0.050011374,	1.867083,	0.050011374,	0,	
128.46835088729858,	1.1531514,	0.050012011,	1.8681514,	0.050012011,	0,	
128.96835088729858,	1.1529607,	0.050015826,	1.8679606999999998,	0.050015826,	0,	
129.46835088729858,	1.152083,	0.050016467,	1.867083,	0.050016467,	0,	
129.96835088729858,	1.1523311,	0.050007559,	1.8673311,	0.050007559,	0,	
130.46835088729858,	1.1511674,	0.0500101,	1.8661674000000001,	0.0500101,	0,	
130.96835088729858,	1.1521022,	0.050008193,	1.8671022000000002,	0.050008193,	0,	
131.46835088729858,	1.152064,	0.050018374,	1.867064,	0.050018374,	0,	
131.96835088729858,	1.1506141,	0.050015826,	1.8656141000000002,	0.050015826,	0,	
132.46835088729858,	1.1518923,	0.050010741,	1.8668923,	0.050010741,	0,	
132.96835088729858,	1.1512628,	0.050011374,	1.8662627999999999,	0.050011374,	0,	
133.46835088729858,	1.1506141,	0.050012648,	1.8656141000000002,	0.050012648,	0,	
133.96835088729858,	1.1512628,	0.050022192,	1.8662627999999999,	0.050022192,	0,	
134.46835088729858,	1.1510339,	0.050018374,	1.8660339000000001,	0.050018374,	0,	
134.96835088729858,	1.1513581,	0.050011374,	1.8663580999999998,	0.050011374,	0,	
135.46835064888,	1.1522739,	0.050015826,	1.8672738999999998,	0.050015826,	0,	
135.96835064888,	1.1525409,	0.050013285,	1.8675408999999998,	0.050013285,	0,	
136.46835064888,	1.1524265,	0.050013285,	1.8674265,	0.050013285,	0,	
